Country,Year,GDP,Population
Brazil,2000,1424662546601.48,174504898
Brazil,2001,1443370058476.96,176968205
Brazil,2002,1481736192631.89,179393768
Brazil,2003,1498726073540.41,181752951
Brazil,2004,1584337688776.79,184010283
Brazil,2005,1634397588667.41,186142403
Brazil,2006,1699071274231.10,188134315
Brazil,2007,1802568682260.25,189996976
Brazil,2008,1895626369050.25,191765567
Brazil,2009,1889345964175.16,193490922
Brazil,2010,2031681881179.13,195210154
Brazil,2011,2087205407280.18,196935134
Brazil,2012,2105420619512.20,198656019
Brazil,2013,2158835140629.22,200361925
Canada,2000,1007408561032.52,30697425
Canada,2001,1025378727238.01,30986788
Canada,2002,1055366230407.77,31283746
Canada,2003,1075218453651.53,31591631
Canada,2004,1108765021882.01,31914080
Canada,2005,1142239273718.50,32253092
Canada,2006,1174485062254.71,32610984
Canada,2007,1200323984443.20,32985806
Canada,2008,1208590938291.79,33369898
Canada,2009,1175115771057.91,33752618
Canada,2010,1212895136829.73,34126240
Canada,2011,1242727022442.82,34487414
Canada,2012,1263965297546.01,34837978
Canada,2013,1284340418142.45,35181704
China,2000,4365603993095.74,1280428583
China,2001,4727962989304.98,1287890449
China,2002,5158207156762.79,1295322020
China,2003,5674028570754.26,1302810258
China,2004,6247105623123.16,1310414386
China,2005,6953028475358.79,1318176835
China,2006,7836062873085.46,1326146433
China,2007,8948783806628.39,1334343509
China,2008,9807866809769.04,1342732604
China,2009,10710191565210.50,1351247555
China,2010,11813340446321.40,1359821465
China,2011,12900167767382.80,1368440300
China,2012,13906380853238.70,1377064907
China,2013,14963265798084.80,1385566537
France,2000,1719993284824.70,59213096
France,2001,1751567788433.46,59600714
France,2002,1767837638379.31,60047743
France,2003,1783739415891.56,60527640
France,2004,1829130865124.75,61002537
France,2005,1862539698498.82,61444972
France,2006,1908486797167.02,61845239
France,2007,1952103633017.46,62210877
France,2008,1950528917742.87,62552614
France,2009,1889144770444.81,62888318
France,2010,1920563020588.45,63230866
France,2011,1953168929308.75,63582112
France,2012,1953440005688.32,63936575
France,2013,1957073404098.90,64291280
Germany,2000,2700931893680.06,83512459
Germany,2001,2741834024963.77,83583461
Germany,2002,2742112270754.82,83685160
Germany,2003,2731817176486.13,83788480
Germany,2004,2763537196665.33,83848844
Germany,2005,2782457910456.43,83835978
Germany,2006,2885408853143.32,83740302
Germany,2007,2979734176307.80,83578794
Germany,2008,3012010688069.09,83379538
Germany,2009,2857584274038.76,83182774
Germany,2010,2976395226815.25,83017404
Germany,2011,3066546863114.04,82892904
Germany,2012,3087664800917.29,82800121
Germany,2013,3102825235089.79,82726626
India,2000,2060213379553.00,1042261758
India,2001,2167692656461.89,1059500888
India,2002,2249344554833.96,1076705723
India,2003,2437634441568.39,1093786762
India,2004,2639868663071.84,1110626108
India,2005,2884977097667.58,1127143548
India,2006,3152240359298.91,1143289350
India,2007,3461202795593.15,1159095250
India,2008,3595876710215.59,1174662334
India,2009,3892113320704.92,1190138069
India,2010,4263921823863.77,1205624648
India,2011,4556253035998.25,1221156319
India,2012,4703736362127.69,1236686732
India,2013,4882290194434.05,1252139596
Indonesia,2000,606234504079.86,208938698
Indonesia,2001,628322454827.45,211970371
Indonesia,2002,656593669057.64,215038285
Indonesia,2003,687981270068.15,218145617
Indonesia,2004,722592740530.61,221293797
Indonesia,2005,763726847521.65,224480901
Indonesia,2006,805739093174.47,227709821
Indonesia,2007,856863417738.55,230972808
Indonesia,2008,908392643921.67,234243489
Indonesia,2009,950440985867.45,237486894
Indonesia,2010,1009324212605.60,240676485
Indonesia,2011,1074496067949.76,243801639
Indonesia,2012,1141399398966.48,246864191
Indonesia,2013,1201870739123.73,249865631
Italy,2000,1599035675485.24,56986085
Italy,2001,1628819752910.61,57200233
Italy,2002,1636172835768.18,57501450
Italy,2003,1635410734267.38,57868021
Italy,2004,1663714219993.03,58267068
Italy,2005,1679207843761.89,58671855
Italy,2006,1716132344750.72,59078271
Italy,2007,1745015928811.75,59485505
Italy,2008,1724839505204.09,59873820
Italy,2009,1630069797253.32,60220314
Italy,2010,1659596911031.31,60508978
Italy,2011,1666830758315.11,60729316
Italy,2012,1624609702128.10,60884593
Italy,2013,1595756633818.30,60990277
Japan,2000,3834523545945.93,125714674
Japan,2001,3848153809098.38,125973930
Japan,2002,3859296078840.51,126249090
Japan,2003,3924329529442.97,126523597
Japan,2004,4016972358396.18,126772899
Japan,2005,4069302587856.93,126978754
Japan,2006,4138191984105.05,127136020
Japan,2007,4228908859055.15,127248855
Japan,2008,4184859020515.97,127319434
Japan,2009,3953562846368.25,127352872
Japan,2010,4128907836023.79,127352833
Japan,2011,4098036852549.96,127319206
Japan,2012,4177743669332.05,127249704
Japan,2013,4259335003194.11,127143577
"Korea, South ",2000,943844488195.62,45977210
"Korea, South ",2001,981347812564.14,46192932
"Korea, South ",2002,1051514362762.98,46393993
"Korea, South ",2003,1080985957966.32,46591762
"Korea, South ",2004,1130917061807.60,46801310
"Korea, South ",2005,1175669188197.85,47033082
"Korea, South ",2006,1236553255264.91,47291491
"Korea, South ",2007,1299689630615.55,47572585
"Korea, South ",2008,1329561385561.61,47867970
"Korea, South ",2009,1333809329207.20,48164969
"Korea, South ",2010,1418109467167.41,48453931
"Korea, South ",2011,1469644606921.32,48732640
"Korea, South ",2012,1499685590384.29,49002683
"Korea, South ",2013,1542336648574.82,49262698
Mexico,2000,1157703925834.19,103873607
Mexico,2001,1157323896700.14,105339877
Mexico,2002,1166257828791.62,106723661
Mexico,2003,1182471887794.64,108056312
Mexico,2004,1230593457177.28,109381550
Mexico,2005,1270899804123.25,110731826
Mexico,2006,1335191738227.98,112116694
Mexico,2007,1380100270726.01,113529819
Mexico,2008,1396906951647.65,114968039
Mexico,2009,1313128231927.07,116422752
Mexico,2010,1383034348552.62,117886404
Mexico,2011,1437218006068.71,119361233
Mexico,2012,1491605940877.83,120847477
Mexico,2013,1509803533356.54,122332399
Russia,2000,1231613619743.42,146762881
Russia,2001,1294316543704.67,146170247
Russia,2002,1355716095727.59,145520813
Russia,2003,1454627167208.68,144879644
Russia,2004,1559010473670.73,144331352
Russia,2005,1658415897242.70,143932966
Russia,2006,1793633709252.38,143715023
Russia,2007,1946721784994.08,143652377
Russia,2008,2048884839671.36,143677033
Russia,2009,1888643912028.30,143689741
Russia,2010,1970609798141.55,143617913
Russia,2011,2056041745153.33,143438152
Russia,2012,2126814269232.33,143169653
Russia,2013,2158312388559.66,142833689
United Kingdom,2000,1664349332829.69,58951444
United Kingdom,2001,1712372045240.99,59183774
United Kingdom,2002,1754032661594.39,59431937
United Kingdom,2003,1820947187629.08,59697954
United Kingdom,2004,1873902608143.49,59984118
United Kingdom,2005,1925889823207.76,60291414
United Kingdom,2006,1975971187662.57,60620907
United Kingdom,2007,2047751744810.63,60970360
United Kingdom,2008,2027932009752.90,61333257
United Kingdom,2009,1947333420775.22,61700797
United Kingdom,2010,1982372178632.69,62066350
United Kingdom,2011,1997405061501.98,62426923
United Kingdom,2012,1999898134728.68,62783115
United Kingdom,2013,2028556674999.35,63136265
United States of America,2000,11128487736737.60,284594395
United States of America,2001,11250163963324.70,287532638
United States of America,2002,11455816733179.40,290270187
United States of America,2003,11748238615436.30,292883010
United States of America,2004,12157050789846.70,295487267
United States of America,2005,12530955850072.30,298165797
United States of America,2006,12864169188619.50,300942917
United States of America,2007,13109516334033.00,303786752
United States of America,2008,13062441597189.40,306657153
United States of America,2009,12656322257301.80,309491893
United States of America,2010,12957520785411.00,312247116
United States of America,2011,13190800042777.60,314911752
United States of America,2012,13557366946254.40,317505266
United States of America,2013,13768861870616.00,320050716
